city,country,population
Istanbul,Turkey,15153265
Moscow,Russia,12692466
London,United Kingdom,9304016
Saint Petersburg,Russia,5398064
Berlin,Germany,3748148
Madrid,Spain,3266126
Kiev,Ukraine,2951977
Rome,Italy,2870500
Paris,France,2140526
Bucharest,Romania,2115820
Minsk,Belarus,1982444
Vienna,Austria,1899055
Hamburg,Germany,1841179
Warsaw,Poland,1790658
Budapest,Hungary,1752286
Barcelona,Spain,1604555
Munich,Germany,1484226
Milan,Italy,1389750
Prague,Czech Republic,1324277
Nizhny Novgorod,Russia,1250615